seed,num_trees,tree_id,x,y,steps,height,crown_volume,crown_radius,asymmetry_radius,consumed_AP,AP_in_growth_radius,neighboring_trees
4015,9,8,1.5,1.5,527,13.062848947243154,231.58585615168366,5.833117426863224,22.84088006806338,126,6250,8
4016,16,0,-2.25,-2.25,531,9.967827019001097,250.65336042542455,6.290894613069438,10.72232419636196,171,6250,15
4016,16,1,-2.25,-0.75,531,10.553550184826403,228.03463093173937,5.640547317772248,10.790328447097382,171,6250,15
4016,16,2,-2.25,0.75,531,13.03336305305896,502.8278644825198,7.72916223271022,14.402281791670172,169,6250,15
4016,16,3,-2.25,2.25,531,10.671243279078158,253.57560190451125,5.566647106023933,60.91798203963862,183,6250,15
4016,16,4,-0.75,-2.25,531,11.077075769576005,410.13502194159133,7.654182111061821,47.77655907997084,158,6250,15
4016,16,5,-0.75,-0.75,531,12.95747395333883,396.757463881764,8.172466185351723,46.79615727018007,150,6250,15
4016,16,6,-0.75,0.75,531,13.351413382615103,585.523863997264,8.685135762184784,16.957465222124238,159,6250,15
4016,16,7,-0.75,2.25,531,13.79392841813802,474.93495671653176,7.402075897960955,4.863462008168394,161,6250,15
4016,16,8,0.75,-2.25,531,12.96359790922548,421.8133020345651,6.9845898815092635,16.32357099386601,137,6250,15
4016,16,9,0.75,-0.75,531,12.13394935600947,1.214657776289578,2.3744995103565825,10.361328484097031,5,6250,15
4016,16,10,0.75,0.75,531,17.90898813678507,285.91819496274854,4.962215352307275,30.39895027316216,158,6250,15
4016,16,11,0.75,2.25,531,14.268686878522189,272.45309494336175,6.106092764988666,25.371685208393522,132,6250,15
4016,16,12,2.25,-2.25,531,13.209744787882409,208.73762175168883,5.448404782924246,21.13108799002374,129,6250,15
4016,16,13,2.25,-0.75,531,15.510462509951452,223.55819683990092,5.129501870198141,57.97508232264981,124,6250,15
4016,16,14,2.25,0.75,531,17.125582393880595,224.14082204541435,5.012897323600177,26.243751341718166,116,6250,15
4016,16,15,2.25,2.25,531,13.20277940161167,165.50148590364458,4.650932802814911,30.703740781495743,130,6250,15
4017,16,0,-2.25,-2.25,529,10.910265888159994,293.7995646351468,6.363341343459236,23.21526811600241,187,6250,15
4017,16,1,-2.25,-0.75,529,12.104421652646701,255.53431477679132,5.187067220314313,19.524587586928316,181,6250,15
4017,16,2,-2.25,0.75,529,11.610480520675996,208.1632316614773,5.723520709934846,8.321255397641256,191,6250,15
4017,16,3,-2.25,2.25,529,10.667290258185517,207.9015548283367,5.1918194457242475,8.909086833272541,173,6250,15
4017,16,4,-0.75,-2.25,529,11.16974197995178,461.4949952815593,7.520641983712142,59.72997705250632,166,6250,15
4017,16,5,-0.75,-0.75,529,9.519042915641021,7.650465833766269,1.9452238712837355,17.206678021024103,5,6250,15
4017,16,6,-0.75,0.75,529,13.005259887718752,487.98448820530746,7.540429558015245,55.970114930057804,161,6250,15
4017,16,7,-0.75,2.25,529,11.597522597038022,408.6225392904088,7.3231924138467095,19.834971467091727,151,6250,15
4017,16,8,0.75,-2.25,529,14.330766554904539,254.55311223690546,5.897253011301225,54.48618368693094,140,6250,15
4017,16,9,0.75,-0.75,529,9.041279476055903,0.9749366481651315,1.105074344716393,9.297131643745681,4,6250,15
4017,16,10,0.75,0.75,529,9.772242008469082,3.3842211430036095,1.2153426396459028,13.732584960966506,4,6250,15
4017,16,11,0.75,2.25,529,13.941887015591309,254.23324780728512,6.456851195055909,19.875315641235648,152,6250,15
4017,16,12,2.25,-2.25,529,14.15669796835919,208.7989315212269,4.948400173619318,12.63100545485407,124,6250,15
4017,16,13,2.25,-0.75,529,17.2665388279589,216.2554200761614,4.892835496399556,48.165215136712426,125,6250,15
4017,16,14,2.25,0.75,529,14.56092467649118,181.50126183490406,4.947111628330448,16.11460576186,117,6250,15
4017,16,15,2.25,2.25,529,13.211990243446255,306.0486505414865,6.539833771959758,75.87812606218145,129,6250,15
4018,16,0,-2.25,-2.25,523,10.478535932948102,240.67934768861417,5.700863685413752,70.06902366144926,174,6250,15
4018,16,1,-2.25,-0.75,523,11.217821652738666,374.9299431607135,7.307788745542833,50.54774265730539,186,6250,15
4018,16,2,-2.25,0.75,523,12.235096198976288,375.9572389785096,6.3872158421890814,17.105831047330927,179,6250,15
4018,16,3,-2.25,2.25,523,11.24593285835732,294.685216830716,6.603951460304711,32.702304386527466,185,6250,15
4018,16,4,-0.75,-2.25,523,11.314056033824606,336.98646935870903,6.372351202184376,62.99085849244001,166,6250,15
4018,16,5,-0.75,-0.75,523,13.16194908371306,382.99010624154124,6.5186761727808475,101.97143773221543,160,6250,15
4018,16,6,-0.75,0.75,523,13.630697774787352,360.20690172518954,7.508088539319411,63.42172611910031,158,6250,15
4018,16,7,-0.75,2.25,523,11.457045547299115,344.49890597807524,6.589753338800361,16.13405479083918,163,6250,15
4018,16,8,0.75,-2.25,523,12.409962004389918,349.53023735662606,7.5894586550982615,40.3721068447909,137,6250,15
4018,16,9,0.75,-0.75,523,9.544379542767937,1.2891373150606382,0.7437500528160401,24.634444204525455,4,6250,15
4018,16,10,0.75,0.75,523,9.666771608447046,3.528034813323396,1.0657567912695047,31.059567603475507,6,6250,15
4018,16,11,0.75,2.25,523,15.417321345755429,362.95208300920245,8.587855460056037,28.491742725138085,151,6250,15
4018,16,12,2.25,-2.25,523,13.575977622210392,214.636788889719,5.39950589525851,25.06589695660355,121,6250,15
4018,16,13,2.25,-0.75,523,14.808434957641534,287.8808542509776,5.772988252220142,97.27987686461009,121,6250,15
4018,16,14,2.25,0.75,523,15.623817298040949,176.40413111192007,4.751199048912626,13.226203053727195,124,6250,15
4018,16,15,2.25,2.25,523,13.230024304161105,250.6790220144516,5.608125264523091,45.73984501420458,123,6250,15
4019,16,0,-2.25,-2.25,529,10.32718076019871,258.70983116398304,5.814863608604291,45.707980939100224,191,6250,15
4019,16,1,-2.25,-0.75,529,11.861946831591334,538.759312005249,8.096602562262166,3.584275133638817,213,6250,15
4019,16,2,-2.25,0.75,529,11.139316035096458,213.58760937207384,5.5373758435823275,22.37576626202518,174,6250,15
4019,16,3,-2.25,2.25,529,11.3800441336713,397.4481562343498,7.423320611209482,18.48080402467653,177,6250,15
4019,16,4,-0.75,-2.25,529,12.546499928826147,465.5996965451068,7.579818482964918,83.75523259147317,175,6250,15
4019,16,5,-0.75,-0.75,529,13.796424873301937,301.9873409653922,7.747561344107068,44.83536449255166,156,6250,15
4019,16,6,-0.75,0.75,529,8.535637176565578,15.577122925253107,2.335247296100331,3.7025010200612587,6,6250,15
4019,16,7,-0.75,2.25,529,12.031273837668527,503.4554622796658,7.830847612175438,1461.2852482177532,170,6250,15
4019,16,8,0.75,-2.25,529,12.704729970826758,342.7238098102762,7.947477921441594,14.595210963333773,149,6250,15
4019,16,9,0.75,-0.75,529,11.357263792400131,1.1400539438995592,0.9679899700883702,8.172984600041199,5,6250,15
4019,16,10,0.75,0.75,529,13.234513040365004,373.9848315181912,8.145068224415946,81.50984053917941,149,6250,15
4019,16,11,0.75,2.25,529,15.188516114613142,315.1060311575094,7.227539579354041,88.25644124490442,144,6250,15
4019,16,12,2.25,-2.25,529,13.280708181770605,227.90669089601624,5.2048233821995,17.174214784938037,129,6250,15
4019,16,13,2.25,-0.75,529,14.19155392279646,295.10361521275314,6.18507133784642,21.05235060358169,120,6250,15
4019,16,14,2.25,0.75,529,16.27515256253806,180.76277146464057,5.201791419748873,31.158716447106194,132,6250,15
4019,16,15,2.25,2.25,529,15.035564763696394,195.96903142084804,5.247681135271579,11.795125699797042,115,6250,15
4020,16,0,-2.25,-2.25,534,10.579675269565044,193.1846501434372,4.986202312314209,30.73985627885125,181,6250,15
4020,16,1,-2.25,-0.75,534,12.360393299236238,233.89890236806073,5.422299279378164,133.50568378734346,176,6250,15
4020,16,2,-2.25,0.75,534,11.64590787626229,168.8832682020613,4.797781260819987,41.637492276197406,171,6250,15
4020,16,3,-2.25,2.25,534,11.2857656705682,306.302513203153,6.210350504662353,20.023702282922464,176,6250,15
4020,16,4,-0.75,-2.25,534,11.45444899238031,328.1465748223847,6.539347892005229,21.733261817234816,155,6250,15
4020,16,5,-0.75,-0.75,534,8.896177833543627,19.15958447501675,2.6122115897681684,17.652938536158445,10,6250,15
