seed,sun_x,sun_y,sun_z,steps,height,crown_volume,crown_radius,asymmetry_radius,consumed_AP,AP_in_growth_radius
1048,21.213203435596427,21.213203435596427,30.0,528,8.50264046996007,74.49442014733698,3.7415976532128323,24.576916729099683,110,91
1049,21.213203435596427,21.213203435596427,30.0,528,8.197029713817738,75.97826596699804,3.6564129898826945,33.266575517956944,92,82
1050,21.213203435596427,21.213203435596427,30.0,528,8.396309150916768,79.29333607599865,3.8622849170223135,21.915875448264522,121,97
1051,1.83697019872103e-15,30.0,30.0,22,8.482041154672883,81.25785214076714,3.9667410307595743,11.286209785440311,144,120
1052,1.83697019872103e-15,30.0,30.0,21,8.706018710204273,58.23265451262172,3.2808723585955333,38.62100641282479,140,124
1053,1.83697019872103e-15,30.0,30.0,23,8.492895804990658,75.81680275166921,3.789951408040003,54.87823197935574,147,119
1054,1.83697019872103e-15,30.0,30.0,21,8.565593474283924,65.52852755568874,3.2614204106755014,36.70309141902682,146,129
1055,1.83697019872103e-15,30.0,30.0,529,8.500257079082356,74.57640714451706,3.870362683923056,7.384029407380093,125,105
1056,-21.213203435596423,21.213203435596427,30.0,20,7.851925024580025,62.73777086364998,3.518278922361965,18.130625334969256,148,146
1057,-21.213203435596423,21.213203435596427,30.0,21,8.371234983515436,65.05030466788334,3.4394956081629657,19.310587128813964,153,149
1058,-21.213203435596423,21.213203435596427,30.0,21,8.15726878832978,70.09960784314636,3.3557668508658356,26.764877569814985,143,134
1059,-21.213203435596423,21.213203435596427,30.0,21,8.295467662339032,66.37665624004238,3.5440710792281918,27.787475680149946,147,136
1060,-21.213203435596423,21.213203435596427,30.0,21,8.44097575255484,70.61582008907845,3.6070076911422806,23.88790683203754,144,133
1061,-30.0,3.67394039744206e-15,30.0,21,8.70836698290065,67.90026957933108,3.740672852443869,48.5866948541414,150,135
1062,-30.0,3.67394039744206e-15,30.0,22,8.309246480977777,66.81973910101601,3.3417393215057585,15.968800066718929,145,134
1063,-30.0,3.67394039744206e-15,30.0,21,8.413299711225042,64.92949864349032,3.507117252587112,14.471912957843884,144,138
1064,-30.0,3.67394039744206e-15,30.0,20,8.039508113694882,61.78091433268449,3.525507808886185,35.828672982215515,140,146
1065,-30.0,3.67394039744206e-15,30.0,20,8.004656534506939,64.52835962936706,3.5522277732263476,14.184411940878661,149,147
1066,-21.21320343559643,-21.213203435596423,30.0,21,8.147843932050423,59.75257947888145,3.349305915579963,85.20286392814062,142,141
1067,-21.21320343559643,-21.213203435596423,30.0,21,8.298069158708095,70.29148375320447,3.667777141227835,18.259631957732353,154,137
1068,-21.21320343559643,-21.213203435596423,30.0,20,8.04046671159835,59.10087992549695,3.3241009689459493,9.817082712271615,140,142
1069,-21.21320343559643,-21.213203435596423,30.0,20,7.96285309088042,65.73835144136017,3.657938031302218,32.25124469106051,151,143
1070,-21.21320343559643,-21.213203435596423,30.0,20,8.390842323692846,55.95641106212269,3.210548296054294,19.843872570590918,148,141
1071,-5.510910596163089e-15,-30.0,30.0,21,8.364712961215123,67.8070947970856,3.4677975822841502,227.45177382816496,145,126
1072,-5.510910596163089e-15,-30.0,30.0,22,8.184818073004443,70.25509970439568,3.7810196267961036,20.152395232416293,143,121
1073,-5.510910596163089e-15,-30.0,30.0,530,8.565487379636512,81.8018078815555,4.0520540413592645,38.66109221144009,132,100
1074,-5.510910596163089e-15,-30.0,30.0,21,7.781623823987567,66.8077269742946,3.683579306770545,34.349082451916566,140,126
1075,-5.510910596163089e-15,-30.0,30.0,24,8.166987792061086,84.97625409420705,3.901428560645683,13.10705545994907,140,108
1076,21.21320343559642,-21.21320343559643,30.0,527,8.42810055989769,71.71460407138184,3.6999778828749137,67.78164096675964,105,90
1077,21.21320343559642,-21.21320343559643,30.0,527,8.190989325787598,84.53481677136251,3.851705891802387,42.531685557036525,102,87
1078,21.21320343559642,-21.21320343559643,30.0,527,8.52193371153183,79.03377215381978,3.7524890617007385,10.770604798540454,103,83
1079,21.21320343559642,-21.21320343559643,30.0,529,8.673132383272543,77.08766806598405,3.837040684415062,34.43219664295295,107,84
1080,21.21320343559642,-21.21320343559643,30.0,527,8.907642819005318,73.10191098414568,3.870365024649988,27.230873844406855,106,95
1081,30.0,0.0,60.0,528,8.027859344555374,73.88336833795881,3.887132807987917,37.083477181889414,90,77
1082,30.0,0.0,60.0,525,8.130915219897826,76.34466506285769,3.5062880065190796,29.86344823793467,88,74
1083,30.0,0.0,60.0,526,8.3083035422098,82.11724507186712,3.6578863641333887,18.41096901908969,105,83
1084,30.0,0.0,60.0,527,8.43201601450093,78.42962064050866,3.8659865076229165,12.498932365224729,98,79
1085,30.0,0.0,60.0,528,8.57413014388522,77.36967283641587,3.93538386291193,23.777923866914072,104,84
1086,21.213203435596427,21.213203435596427,60.0,526,8.109119496857753,76.79484374569779,4.09447015298115,10.192723766446978,95,80
1087,21.213203435596427,21.213203435596427,60.0,527,8.594411551205162,82.39916510103777,3.8216148725460215,15.10451978190962,112,94
1088,21.213203435596427,21.213203435596427,60.0,526,8.342462301762785,78.49912125440184,3.391051842318416,15.83433773890106,107,86
1089,21.213203435596427,21.213203435596427,60.0,526,8.346220436182401,76.9554612385648,3.6700361165157123,33.7847524745139,115,96
1090,21.213203435596427,21.213203435596427,60.0,531,8.373238898440244,73.14798648662078,3.5482060824791954,16.916793716519432,86,67
1091,1.83697019872103e-15,30.0,60.0,526,8.62634137557109,76.00878757156983,3.7889661804838894,21.72922769353877,132,119
1092,1.83697019872103e-15,30.0,60.0,526,8.20544971577414,84.7936244458378,3.795495704858205,5.669225150734424,100,81
1093,1.83697019872103e-15,30.0,60.0,527,8.568277458229362,86.1531806245819,3.981670418003143,12.576647609690884,128,101
1094,1.83697019872103e-15,30.0,60.0,526,8.49710530630737,79.15336202695217,3.7610142082103217,23.897755170123023,117,96
1095,1.83697019872103e-15,30.0,60.0,528,8.173373223956451,84.73410206815952,3.699849192353821,133.9659183125018,129,109
1096,-21.213203435596423,21.213203435596427,60.0,24,8.777194901989452,76.97493580326972,3.711762276595218,33.31632015778562,140,111
1097,-21.213203435596423,21.213203435596427,60.0,526,8.631046657157356,70.07383929535585,3.691899324324792,42.37982305904211,127,105
1098,-21.213203435596423,21.213203435596427,60.0,527,8.449231313731001,70.98413884330746,3.765008903949576,38.78812335916921,132,116
1099,-21.213203435596423,21.213203435596427,60.0,529,8.349235179336594,82.19267849901364,3.999532960487127,19.67663376134964,123,105
1100,-21.213203435596423,21.213203435596427,60.0,526,8.193728157104907,79.5627150461662,3.770269595675671,18.957597994041937,131,110
1101,-30.0,3.67394039744206e-15,60.0,22,8.28947327984498,73.69186200014386,3.5897878653697926,13.829933300380652,151,138
1102,-30.0,3.67394039744206e-15,60.0,24,8.664328477750562,73.98584409846087,3.7758446708335747,8.968432612219944,142,121
1103,-30.0,3.67394039744206e-15,60.0,528,8.443115626408227,83.73747733493157,4.018928523575059,30.83114274362436,128,105
1104,-30.0,3.67394039744206e-15,60.0,526,8.295586933027229,83.9795560530571,3.864036829712237,18.082500676922084,134,105
